source_practitioner_id,source_system,npi,andor_practitioner_id,andor_practitioner_name,andor_specialty_nucc,andor_specialty_text,andor_org_guid,notes
6c06b78f-c2ee-3adb-a28d-b7c577b4f74d,synthea_andor_1000,9999930792,AHSP-0001,Eveline832 Jerde200,,,Location/103,Canonical Mapping
95ad35c1-2f65-3896-bd70-1c6268cddf3f,synthea_andor_1000,9999984690,AHSP-0002,Eugene421 Dooley940,,,Location/103,Canonical Mapping
ca3bee48-3651-377f-a987-66e5f9c5f430,synthea_andor_1000,9999953695,AHSP-0003,Walton167 Turner526,,,Location/103,Canonical Mapping
397076ca-6a88-30eb-8fa0-e48fa167e198,synthea_andor_1000,9999951798,AHSP-0004,Josue598 Flatley871,,,Location/106,Canonical Mapping
dc958bfb-dacc-3427-a79b-1c40f569fe27,synthea_andor_1000,9999885491,AHSP-0005,Keven605 Wunsch504,,,Location/101,Canonical Mapping
205c7200-7c90-3388-97b3-aced9e3ecf9d,synthea_andor_1000,9999957191,AHSP-0006,Hank686 Schneider199,,,Location/106,Canonical Mapping
4575adfa-7b8a-30e9-b082-5727c25bdefd,synthea_andor_1000,9999980599,AHSP-0007,Mathew182 Cummings51,,,Org/3,Canonical Mapping
65acf9b7-2115-3ba8-83e3-ef67e128d1c6,synthea_andor_1000,9999996199,AHSP-0008,Cristi782 Miller503,,,Location/111,Canonical Mapping
99e9ca06-9cbd-385a-8a06-d4b28c701c1f,synthea_andor_1000,9999993899,AHSP-0009,Shannon293 Denesik803,,,Org/3,Canonical Mapping
3c49c1b3-4aa8-345f-81d4-9f1c2a264e1b,synthea_andor_1000,9999901496,AHSP-0010,Love546 Stoltenberg489,,,Location/109,Canonical Mapping
b5141024-5be6-30c3-9f06-2ba4dd0ec391,synthea_andor_1000,9999989590,AHSP-0011,Noelle559 Padberg411,,,Location/101,Canonical Mapping
f9946b74-aefc-3d3d-90b2-e7feaab5e49e,synthea_andor_1000,9999945691,AHSP-0012,Jean712 Jacobs452,,,Location/106,Canonical Mapping
cbe3c7f4-a9a3-358e-9729-803fc88a1521,synthea_andor_1000,9999914895,AHSP-0013,Fermin479 Paucek755,,,Location/102,Canonical Mapping
307ac0d5-67ab-350a-8b4c-a5fade9e4129,synthea_andor_1000,9999993790,AHSP-0014,Waldo53 Hintz995,,,Location/104,Canonical Mapping
886ab280-9a5d-3c84-86ba-a6a8897ace53,synthea_andor_1000,9999993691,AHSP-0015,Dorcas534 Quigley282,,,Location/104,Canonical Mapping
5622bf63-0116-389f-8a34-a78b6f4e00e3,synthea_andor_1000,9999958199,AHSP-0016,Benedict104 Barrows492,,,Location/104,Canonical Mapping
79a36069-bfea-3f5c-9a67-5fb8ff51a707,synthea_andor_1000,9999898395,AHSP-0017,Gabriela205 Schultz619,,,Location/107,Canonical Mapping
