andor_practitioner_id,andor_org_guid,encounter_count,run_id
PROV_9999930792,ANDOR_ORG_419,1538,andor1000_placeholder
PROV_9999935791,ANDOR_ORG_069,1525,andor1000_placeholder
PROV_9999999193,ANDOR_ORG_481,1235,andor1000_placeholder
PROV_9999935593,ANDOR_ORG_347,1193,andor1000_placeholder
PROV_9999995696,ANDOR_ORG_425,953,andor1000_placeholder
PROV_9999997296,ANDOR_ORG_452,938,andor1000_placeholder
PROV_9999935692,ANDOR_ORG_570,852,andor1000_placeholder
PROV_9999991794,ANDOR_ORG_552,845,andor1000_placeholder
PROV_9999989798,ANDOR_ORG_673,810,andor1000_placeholder
PROV_9999989392,ANDOR_ORG_314,799,andor1000_placeholder
PROV_9999995498,ANDOR_ORG_691,780,andor1000_placeholder
PROV_9999975193,ANDOR_ORG_636,772,andor1000_placeholder
PROV_9999998591,ANDOR_ORG_401,766,andor1000_placeholder
PROV_9999993691,ANDOR_ORG_448,737,andor1000_placeholder
PROV_9999996595,ANDOR_ORG_629,705,andor1000_placeholder
PROV_9999994293,ANDOR_ORG_577,687,andor1000_placeholder
PROV_9999991299,ANDOR_ORG_329,679,andor1000_placeholder
PROV_9999995597,ANDOR_ORG_150,652,andor1000_placeholder
PROV_9999992693,ANDOR_ORG_181,606,andor1000_placeholder
PROV_9999996991,ANDOR_ORG_356,587,andor1000_placeholder
PROV_9999986992,ANDOR_ORG_415,562,andor1000_placeholder
PROV_9999992594,ANDOR_ORG_766,557,andor1000_placeholder
PROV_9999979997,ANDOR_ORG_130,555,andor1000_placeholder
PROV_9999996496,ANDOR_ORG_512,552,andor1000_placeholder
PROV_9999993097,ANDOR_ORG_625,544,andor1000_placeholder
PROV_9999992495,ANDOR_ORG_618,528,andor1000_placeholder
PROV_9999990499,ANDOR_ORG_742,502,andor1000_placeholder
PROV_9999983197,ANDOR_ORG_096,500,andor1000_placeholder
PROV_9999995399,ANDOR_ORG_341,495,andor1000_placeholder
PROV_9999986893,ANDOR_ORG_560,476,andor1000_placeholder
PROV_9999983296,ANDOR_ORG_670,465,andor1000_placeholder
PROV_9999993196,ANDOR_ORG_558,454,andor1000_placeholder
PROV_9999999797,ANDOR_ORG_256,451,andor1000_placeholder
PROV_9999977892,ANDOR_ORG_350,444,andor1000_placeholder
PROV_9999987396,ANDOR_ORG_544,429,andor1000_placeholder
PROV_9999990994,ANDOR_ORG_678,412,andor1000_placeholder
PROV_9999998898,ANDOR_ORG_525,410,andor1000_placeholder
PROV_9999989699,ANDOR_ORG_500,406,andor1000_placeholder
PROV_9999982298,ANDOR_ORG_518,401,andor1000_placeholder
PROV_9999999490,ANDOR_ORG_373,400,andor1000_placeholder
PROV_9999997197,ANDOR_ORG_092,393,andor1000_placeholder
PROV_9999988196,ANDOR_ORG_478,378,andor1000_placeholder
PROV_9999990192,ANDOR_ORG_446,376,andor1000_placeholder
PROV_9999997890,ANDOR_ORG_068,347,andor1000_placeholder
PROV_9999996090,ANDOR_ORG_580,339,andor1000_placeholder
PROV_9999993790,ANDOR_ORG_624,330,andor1000_placeholder
PROV_9999978593,ANDOR_ORG_216,327,andor1000_placeholder
PROV_9999990697,ANDOR_ORG_109,321,andor1000_placeholder
PROV_9999998195,ANDOR_ORG_156,314,andor1000_placeholder
PROV_9999978890,ANDOR_ORG_739,305,andor1000_placeholder
PROV_9999991596,ANDOR_ORG_632,302,andor1000_placeholder
