USPS,ST,NAME,ZCTA5,LAT,LON,WEIGHT
Wisconsin,WI,Ashippun,53003,43.206569,-88.509682,0.00008866
Wisconsin,WI,Brownsville,53006,43.620098,-88.533555,0.00136034
Wisconsin,WI,Clyman,53016,43.310687,-88.714441,0.00035740
Wisconsin,WI,Slinger,53027,43.317984,-88.372522,0.00055134
Wisconsin,WI,Horicon,53032,43.449585,-88.624792,0.00461297
Wisconsin,WI,Hustisford,53034,43.330168,-88.618784,0.00155336
Wisconsin,WI,Iron Ridge,53035,43.390641,-88.546919,0.00225338
Wisconsin,WI,Lac La Belle,53036,43.179661,-88.575045,0.00285367
Wisconsin,WI,Johnson Creek,53038,43.084329,-88.787652,0.00399237
Wisconsin,WI,Juneau,53039,43.369846,-88.713347,0.00448183
Wisconsin,WI,Lebanon,53047,43.257123,-88.630120,0.00012375
Wisconsin,WI,Lomira,53048,43.573797,-88.457153,0.00325263
Wisconsin,WI,Mayville,53050,43.510549,-88.547354,0.00652927
Wisconsin,WI,Neosho,53059,43.288567,-88.525136,0.00181379
Wisconsin,WI,Oakfield,53065,43.679772,-88.571625,0.00001662
Wisconsin,WI,Wales,53066,43.112853,-88.490036,0.00364697
Wisconsin,WI,Hartford,53078,43.317703,-88.466213,0.00167249
Wisconsin,WI,Theresa,53091,43.499624,-88.434562,0.00195878
Wisconsin,WI,Watertown,53094,43.143320,-88.723069,0.01709155
Wisconsin,WI,Watertown,53098,43.253742,-88.710584,0.01069988
Wisconsin,WI,Darien,53114,42.596990,-88.751804,0.00014961
Wisconsin,WI,Dousman,53118,42.962495,-88.491539,0.00044883
Wisconsin,WI,Rome,53137,43.007883,-88.669078,0.00137604
Wisconsin,WI,Palmyra,53156,42.889875,-88.588845,0.00317044
Wisconsin,WI,Sullivan,53178,43.029545,-88.596788,0.00253875
Wisconsin,WI,Whitewater,53190,42.807774,-88.736204,0.00538780
Wisconsin,WI,Afton,53501,42.605500,-89.070400,0.00022996
Wisconsin,WI,Albany,53502,42.730406,-89.438069,0.00227555
Wisconsin,WI,Arena,53503,43.142976,-89.957507,0.00180455
Wisconsin,WI,Argyle,53504,42.703516,-89.860349,0.00055873
Wisconsin,WI,Avalon,53505,42.659300,-88.830600,0.00033985
Wisconsin,WI,Avoca,53506,43.164815,-90.286383,0.00088935
Wisconsin,WI,Barneveld,53507,42.984271,-89.914025,0.00223030
Wisconsin,WI,Belleville,53508,42.866188,-89.575582,0.00540997
Wisconsin,WI,Beloit,53511,42.554243,-89.094535,0.04502058
Wisconsin,WI,Black Earth,53515,43.115004,-89.739338,0.00246210
Wisconsin,WI,Blanchardville,53516,42.796850,-89.873566,0.00096046
Wisconsin,WI,Blue Mounds,53517,43.056983,-89.832329,0.00168173
Wisconsin,WI,Brodhead,53520,42.596822,-89.352736,0.00619588
Wisconsin,WI,Brooklyn,53521,42.838105,-89.400302,0.00331266
Wisconsin,WI,Browntown,53522,42.556909,-89.783490,0.00076929
Wisconsin,WI,Rockdale,53523,42.984409,-89.028839,0.00470163
Wisconsin,WI,Clinton,53525,42.544535,-88.858656,0.00371624
Wisconsin,WI,Cobb,53526,42.974097,-90.343643,0.00051625
Wisconsin,WI,Cottage Grove,53527,43.051357,-89.192257,0.01032678
Wisconsin,WI,Cross Plains,53528,43.118300,-89.638014,0.00577753
Wisconsin,WI,Dane,53529,43.242558,-89.514690,0.00235405
Wisconsin,WI,Deerfield,53531,43.062188,-89.102427,0.00370331
Wisconsin,WI,Windsor,53532,43.249682,-89.326691,0.01515124
Wisconsin,WI,Dodgeville,53533,42.996820,-90.162324,0.00683126
Wisconsin,WI,Edgerton,53534,42.860823,-89.093310,0.01136389
Wisconsin,WI,Evansville,53536,42.761233,-89.267862,0.00837908
Wisconsin,WI,Footville,53537,42.672395,-89.210506,0.00080438
Wisconsin,WI,Hebron,53538,42.920054,-88.857148,0.01711740
Wisconsin,WI,Highland,53543,43.057568,-90.345460,0.00153489
Wisconsin,WI,Hollandale,53544,42.877560,-89.905663,0.00076190
Wisconsin,WI,Janesville,53545,42.738735,-89.040224,0.02219860
Wisconsin,WI,Janesville,53546,42.652244,-88.948166,0.02710710
Wisconsin,WI,Janesville,53548,42.682985,-89.124673,0.01858026
Wisconsin,WI,Jefferson,53549,42.984485,-88.765584,0.00914467
Wisconsin,WI,Juda,53550,42.552842,-89.493930,0.00107405
Wisconsin,WI,Lake Mills,53551,43.081815,-88.915650,0.00869677
Wisconsin,WI,Linden,53553,42.907837,-90.302172,0.00056519
Wisconsin,WI,Livingston,53554,42.908694,-90.440667,0.00010805
Wisconsin,WI,Lodi,53555,43.320154,-89.555784,0.00804015
Wisconsin,WI,Lone Rock,53556,43.238115,-90.245515,0.00025859
Wisconsin,WI,Lowell,53557,43.338949,-88.797661,0.00037495
Wisconsin,WI,Monona,53558,42.997142,-89.275488,0.01184874
Wisconsin,WI,Marshall,53559,43.165573,-89.081901,0.00569349
Wisconsin,WI,Mazomanie,53560,43.192255,-89.737666,0.00322954
Wisconsin,WI,Merrimac,53561,43.394940,-89.638619,0.00174637
Wisconsin,WI,Middleton,53562,43.115952,-89.543473,0.02693071
Wisconsin,WI,Milton,53563,42.795191,-88.929676,0.01070080
Wisconsin,WI,Mineral Point,53565,42.837485,-90.166593,0.00368391
Wisconsin,WI,Monroe,53566,42.607782,-89.649858,0.01388694
Wisconsin,WI,Montfort,53569,42.988991,-90.438937,0.00020502
Wisconsin,WI,Monticello,53570,42.731054,-89.619580,0.00245102
Wisconsin,WI,Morrisonville,53571,43.277300,-89.356400,0.00006280
Wisconsin,WI,Mount Horeb,53572,42.961408,-89.733956,0.00955841
Wisconsin,WI,Muscoda,53573,43.187505,-90.459136,0.00021703
Wisconsin,WI,New Glarus,53574,42.816516,-89.650170,0.00383352
Wisconsin,WI,Oregon,53575,42.933063,-89.390551,0.01655683
Wisconsin,WI,Orfordville,53576,42.625738,-89.233212,0.00217858
Wisconsin,WI,Plain,53577,43.311608,-90.064349,0.00120057
Wisconsin,WI,Prairie Du Sac,53578,43.327450,-89.775534,0.00590313
Wisconsin,WI,Reeseville,53579,43.295981,-88.867735,0.00160323
Wisconsin,WI,Rewey,53580,42.859813,-90.378041,0.00044975
Wisconsin,WI,Ridgeway,53582,43.018374,-89.978797,0.00109160
Wisconsin,WI,Sauk City,53583,43.250531,-89.804480,0.00565378
Wisconsin,WI,Sharon,53585,42.529624,-88.715607,0.00002032
Wisconsin,WI,Spring Green,53588,43.193739,-90.086262,0.00345488
Wisconsin,WI,Stoughton,53589,42.924555,-89.212885,0.01838540
Wisconsin,WI,Sun Prairie,53590,43.200235,-89.205195,0.04010192
Wisconsin,WI,Verona,53593,42.985198,-89.579337,0.02592684
Wisconsin,WI,Waterloo,53594,43.190777,-88.973848,0.00467208
Wisconsin,WI,Waunakee,53597,43.183434,-89.457307,0.01894782
Wisconsin,WI,Windsor,53598,43.209737,-89.336532,0.00346319
Wisconsin,WI,Madison,53703,43.079607,-89.378423,0.03504196
Wisconsin,WI,Maple Bluff,53704,43.135832,-89.347480,0.04347830
Wisconsin,WI,Shorewood Hills,53705,43.074014,-89.460509,0.02302884
Wisconsin,WI,Madison,53706,43.074271,-89.409300,0.00340224
Wisconsin,WI,Madison,53711,43.011281,-89.409310,0.04594409
Wisconsin,WI,Monona,53713,43.036054,-89.386887,0.02157892
Wisconsin,WI,Monona,53714,43.100348,-89.311966,0.01476059
Wisconsin,WI,Madison,53715,43.068413,-89.402025,0.01484278
Wisconsin,WI,Monona,53716,43.065163,-89.313783,0.01740462
Wisconsin,WI,Middleton,53717,43.067686,-89.521056,0.01190599
Wisconsin,WI,Sun Prairie,53718,43.097019,-89.274603,0.01642754
Wisconsin,WI,Madison,53719,43.045313,-89.515378,0.03048163
Wisconsin,WI,Madison,53726,43.069782,-89.422504,0.00503964
Wisconsin,WI,Platteville,53818,42.745700,-90.492321,0.00002493
Wisconsin,WI,Portage,53901,43.560907,-89.483147,0.01378166
Wisconsin,WI,Arlington,53911,43.325818,-89.367503,0.00132340
Wisconsin,WI,West Baraboo,53913,43.492773,-89.728730,0.01971341
Wisconsin,WI,Beaver Dam,53916,43.456479,-88.854170,0.02128247
Wisconsin,WI,Burnett,53922,43.520930,-88.715147,0.00099186
Wisconsin,WI,Friesland,53923,43.574139,-89.138363,0.00182487
Wisconsin,WI,Cazenovia,53924,43.483411,-90.261729,0.00003509
Wisconsin,WI,Doylestown,53925,43.326703,-89.057148,0.00813619
Wisconsin,WI,Kingston,53926,43.666882,-89.222839,0.00031492
Wisconsin,WI,Doylestown,53928,43.427083,-89.156609,0.00009420
Wisconsin,WI,Fall River,53932,43.422362,-89.055328,0.00226077
Wisconsin,WI,Fox Lake,53933,43.584046,-88.875214,0.00355647
Wisconsin,WI,Friesland,53935,43.587632,-89.065550,0.00024104
Wisconsin,WI,Hillpoint,53937,43.395100,-90.158800,0.00084225
Wisconsin,WI,Lime Ridge,53941,43.570024,-90.161049,0.00285552
Wisconsin,WI,Loganville,53943,43.386819,-90.035254,0.00118580
Wisconsin,WI,Lyndon Station,53944,43.685918,-89.928670,0.00018101
Wisconsin,WI,Marquette,53946,43.712450,-89.020818,0.00000185
Wisconsin,WI,North Freedom,53951,43.387930,-89.876247,0.00227740
Wisconsin,WI,Wyocena,53954,43.551540,-89.313911,0.00614509
Wisconsin,WI,Poynette,53955,43.406614,-89.416630,0.00536195
Wisconsin,WI,Randolph,53956,43.542019,-89.017566,0.00275485
Wisconsin,WI,Reedsburg,53959,43.533502,-89.999636,0.01320077
Wisconsin,WI,Wyocena,53960,43.426086,-89.235375,0.00297280
Wisconsin,WI,Rock Springs,53961,43.457619,-89.927555,0.00085148
Wisconsin,WI,Waupun,53963,43.639467,-88.743298,0.00804015
Wisconsin,WI,Wisconsin Dells,53965,43.671422,-89.748134,0.00666041
Wisconsin,WI,Wonewoc,53968,43.646132,-90.227834,0.00048115
Wisconsin,WI,Wyocena,53969,43.493239,-89.301835,0.00029922
