Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
efc9c874-6a26-3e8b-abb5-5644bc06cc29,CMS Medicare FFS,GOVERNMENT,,,,,,709863.30,757164.32,197656.20,768,0,862,0,1872,0,139,0,214,0.0,2568
68b5c49e-686e-324f-b88c-87ac032f721a,Sunrise Medicare Advantage HMO,PRIVATE,,,,,,339.77,8686.12,1920.00,3,0,4,0,12,0,2,0,2,0.0,24
95732df8-5436-3c94-b57f-34719f4fdcff,Sunrise Medicare Advantage PPO,PRIVATE,,,,,,0.00,2533.42,1200.00,1,0,1,0,1,0,0,0,3,0.0,36
e25c3ea4-7c7e-3506-83e7-1a45ee660e38,Evergreen Medicare Advantage HMO,PRIVATE,,,,,,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,NaN,0
3bfc2bdc-18d6-37ce-9b4c-b75c0b960bbb,Evergreen Medicare Advantage PPO,PRIVATE,,,,,,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,NaN,0
0c83d3bd-345a-3d2d-879e-13d0bb15897d,HealthOne Medicaid HMO,GOVERNMENT,,,,,,1401574.93,163.45,0.00,352,0,206,0,751,0,142,0,122,0.0,1464
4a15e87c-9f11-360b-961a-2d1038826e37,FamilyCare Medicaid HMO,GOVERNMENT,,,,,,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,NaN,0
5c02a1f9-4f79-3167-9d64-fa139c41cb47,HorizonHealth Commercial PPO,PRIVATE,,,,,,921093.16,1403745.99,865200.00,856,0,439,0,2205,0,430,0,466,0.0,5592
ce3ca012-ce52-358f-a6ce-274c987001e9,HorizonHealth Commercial HMO,PRIVATE,,,,,,47264.66,16922.23,10360.00,10,0,16,0,41,0,6,0,6,0.0,72
cecebdca-4803-3411-acda-3b04eb644e8c,ClearBlue Integrated Care,PRIVATE,,,,,,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,NaN,0
b8fae6ea-d9d4-3a8e-932e-59bf2ce9b88b,AxisBenefits Total Care,PRIVATE,,,,,,6903.24,40648.14,3000.00,4,0,0,0,29,0,3,0,2,0.0,24
7a1bba85-e84c-3be7-9bc7-b199c078e999,Self-Pay / Uninsured,PRIVATE,,,,,,326005.16,0.00,0.00,108,0,137,0,374,0,46,0,58,0.0,696
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,489407484.43,0.00,0,175853,0,101277,0,413243,0,59584,1115,0.9520109817145281,571788
